Date,Words
11/15/21,9634
11/11/21,5
11/12/21,-801
11/13/21,-4
11/14/21,24
11/15/21,277
11/16/21,21
11/17/21,1193
11/18/21,264
11/20/21,1411
11/21/21,3026
11/22/21,277
11/23/21,103
11/24/21,0
11/25/21,269
11/26/21,1559
11/27/21,68
11/28/21,1024
11/29/21,1197
12/1/21,964
12/2/21,84
12/3/21,374
12/7/21,386
12/8/21,1906
12/9/21,47
12/10/21,5
12/11/21,1256
12/12/21,689
12/13/21,771
12/20/21,163
12/21/21,564
12/23/21,0
12/24/21,-59
12/25/21,72
12/26/21,452
12/27/21,387
12/28/21,2079
12/30/21,2235
12/31/21,2636
1/1/22,377
1/2/22,601
1/4/22,532
1/5/22,18
1/6/22,2071
1/7/22,476
1/8/22,761
1/10/22,1013
1/11/22,862
1/12/22,760
1/13/22,7
1/14/22,0
1/15/22,762
1/17/22,1590
1/18/22,1173
1/19/22,80
1/20/22,737
1/21/22,213
1/23/22,383
1/24/22,653
1/25/22,6
1/26/22,1208
2/3/22,1022
2/4/22,70
2/5/22,1172
2/6/22,1438
2/7/22,0
2/8/22,1407
2/9/22,1031
2/10/22,535
2/11/22,972
2/12/22,1194
2/13/22,694
2/14/22,889
2/15/22,1085
2/16/22,1149
2/17/22,2
2/18/22,102
2/19/22,2615
2/20/22,2189
2/21/22,696
2/22/22,559
2/23/22,893
3/1/22,0